Tahun_Bulan,Tahun,Bulan,date,Penumpang,Penumpang_Per_Koridor,Wisata,PDRB,PDRB_Growth_YoY_%,Penumpang_Growth_YoY_%,Search_Growth_YoY_%
2020-11,2020,11,2020-11-01,30200,6040.0,69.8,2363556.1666666665,,,
2020-12,2020,12,2020-12-01,22468,4494.0,30.75,2363556.1666666665,,,
2021-01,2021,1,2021-01-01,19630,3926.0,19.2,2475968.833333333,4.76,,
2021-02,2021,2,2021-02-01,23073,4615.0,23.0,2475968.833333333,4.76,,
2021-03,2021,3,2021-03-01,28262,5652.0,33.5,2475968.833333333,4.76,,
2021-04,2021,4,2021-04-01,25847,5169.0,23.75,2475968.833333333,4.76,,
2021-05,2021,5,2021-05-01,25860,5172.0,42.8,2475968.833333333,4.76,,
2021-06,2021,6,2021-06-01,27635,5527.0,26.25,2475968.833333333,4.76,,
2021-07,2021,7,2021-07-01,12753,2551.0,19.25,2475968.833333333,4.76,,
2021-08,2021,8,2021-08-01,23248,4650.0,27.2,2475968.833333333,4.76,,
2021-09,2021,9,2021-09-01,27931,5586.0,35.0,2475968.833333333,4.76,,
2021-10,2021,10,2021-10-01,29541,5908.0,41.8,2475968.833333333,4.76,,
2021-11,2021,11,2021-11-01,48316,9663.0,33.0,2475968.833333333,4.76,59.99,-52.72
2021-12,2021,12,2021-12-01,45165,9033.0,41.5,2475968.833333333,4.76,101.02,34.96
2022-01,2022,1,2022-01-01,72120,14424.0,32.2,2734595.333333333,10.45,267.4,67.71
2022-02,2022,2,2022-02-01,55385,11077.0,21.75,2734595.333333333,10.45,140.04,-5.43
2022-03,2022,3,2022-03-01,71237,14247.0,22.5,2734595.333333333,10.45,152.06,-32.84
2022-04,2022,4,2022-04-01,50793,10159.0,21.25,2734595.333333333,10.45,96.51,-10.53
2022-05,2022,5,2022-05-01,63216,12643.0,54.2,2734595.333333333,10.45,144.45,26.64
2022-06,2022,6,2022-06-01,51058,10212.0,42.0,2734595.333333333,10.45,84.76,60.0
2022-07,2022,7,2022-07-01,52904,10581.0,33.2,2734595.333333333,10.45,314.84,72.47
2022-08,2022,8,2022-08-01,65269,13054.0,30.5,2734595.333333333,10.45,180.75,12.13
2022-09,2022,9,2022-09-01,64545,12909.0,27.25,2734595.333333333,10.45,131.09,-22.14
2022-10,2022,10,2022-10-01,68005,13601.0,26.6,2734595.333333333,10.45,130.21,-36.36
2022-11,2022,11,2022-11-01,73280,14656.0,24.25,2734595.333333333,10.45,51.67,-26.52
2022-12,2022,12,2022-12-01,67654,13531.0,33.25,2734595.333333333,10.45,49.79,-19.88
2023-01,2023,1,2023-01-01,62159,12432.0,29.8,2927370.4166666665,7.05,-13.81,-7.45
2023-02,2023,2,2023-02-01,55858,11172.0,22.25,2927370.4166666665,7.05,0.85,2.3
2023-03,2023,3,2023-03-01,62314,12463.0,19.25,2927370.4166666665,7.05,-12.53,-14.44
2023-04,2023,4,2023-04-01,55812,11162.0,31.6,2927370.4166666665,7.05,9.88,48.71
2023-05,2023,5,2023-05-01,70991,14198.0,26.5,2927370.4166666665,7.05,12.3,-51.11
2023-06,2023,6,2023-06-01,53594,10719.0,27.25,2927370.4166666665,7.05,4.97,-35.12
2023-07,2023,7,2023-07-01,59754,11951.0,22.8,2927370.4166666665,7.05,12.95,-31.33
2023-08,2023,8,2023-08-01,53809,10762.0,15.75,2927370.4166666665,7.05,-17.56,-48.36
2023-09,2023,9,2023-09-01,52562,10512.0,14.25,2927370.4166666665,7.05,-18.57,-47.71
2023-10,2023,10,2023-10-01,61176,12235.0,14.6,2927370.4166666665,7.05,-10.04,-45.11
2023-11,2023,11,2023-11-01,59841,11968.0,15.75,2927370.4166666665,7.05,-18.34,-35.05
2023-12,2023,12,2023-12-01,54471,10894.0,26.4,2927370.4166666665,7.05,-19.49,-20.6
2024-01,2024,1,2024-01-01,55047,11009.0,13.0,3098713.5,5.85,-11.44,-56.38
2024-02,2024,2,2024-02-01,51714,10343.0,11.5,3098713.5,5.85,-7.42,-48.31
2024-03,2024,3,2024-03-01,45606,9121.0,8.2,3098713.5,5.85,-26.81,-57.4
2024-04,2024,4,2024-04-01,56884,11377.0,16.25,3098713.5,5.85,1.92,-48.58
2024-05,2024,5,2024-05-01,62068,12414.0,12.5,3098713.5,5.85,-12.57,-52.83
2024-06,2024,6,2024-06-01,51386,10277.0,12.6,3098713.5,5.85,-4.12,-53.76
2024-07,2024,7,2024-07-01,64988,12998.0,10.25,3098713.5,5.85,8.76,-55.04
2024-08,2024,8,2024-08-01,54427,10885.0,9.75,3098713.5,5.85,1.15,-38.1
2024-09,2024,9,2024-09-01,45800,9160.0,9.6,3098713.5,5.85,-12.86,-32.63
2024-10,2024,10,2024-10-01,51784,10357.0,9.5,3098713.5,5.85,-15.35,-34.93
2024-11,2024,11,2024-11-01,46138,9228.0,9.5,3098713.5,5.85,-22.9,-39.68
2024-12,2024,12,2024-12-01,50832,10166.0,14.0,3098713.5,5.85,-6.68,-46.97
