id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bulan,koridor,jumlah_penumpang,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KORIDOR 1 (CIBIRU - CIBEUREUM),33383,ORANG,2018
2,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KORIDOR 2 (CICAHEUM - CIBEUREUM),29704,ORANG,2018
3,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KORIDOR 3 (CICAHEUM - SARIJADI),12355,ORANG,2018
4,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),4173,ORANG,2018
5,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KORIDOR 1 (CIBIRU - CIBEUREUM),34937,ORANG,2018
6,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KORIDOR 2 (CICAHEUM - CIBEUREUM),36866,ORANG,2018
7,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KORIDOR 3 (CICAHEUM - SARIJADI),14497,ORANG,2018
8,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),3770,ORANG,2018
9,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KORIDOR 1 (CIBIRU - CIBEUREUM),37914,ORANG,2018
10,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KORIDOR 2 (CICAHEUM - CIBEUREUM),36501,ORANG,2018
11,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KORIDOR 3 (CICAHEUM - SARIJADI),16067,ORANG,2018
12,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),4428,ORANG,2018
13,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KORIDOR 1 (CIBIRU - CIBEUREUM),25887,ORANG,2018
14,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KORIDOR 2 (CICAHEUM - CIBEUREUM),29545,ORANG,2018
15,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KORIDOR 3 (CICAHEUM - SARIJADI),16463,ORANG,2018
16,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),6768,ORANG,2018
17,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,KORIDOR 1 (CIBIRU - CIBEUREUM),20663,ORANG,2018
18,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,KORIDOR 2 (CICAHEUM - CIBEUREUM),17058,ORANG,2018
19,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,KORIDOR 3 (CICAHEUM - SARIJADI),12334,ORANG,2018
20,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),5560,ORANG,2018
21,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,KORIDOR 1 (CIBIRU - CIBEUREUM),27914,ORANG,2018
22,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,KORIDOR 2 (CICAHEUM - CIBEUREUM),24113,ORANG,2018
23,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,KORIDOR 3 (CICAHEUM - SARIJADI),14763,ORANG,2018
24,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),8566,ORANG,2018
25,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KORIDOR 1 (CIBIRU - CIBEUREUM),34043,ORANG,2018
26,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KORIDOR 2 (CICAHEUM - CIBEUREUM),33949,ORANG,2018
27,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KORIDOR 3 (CICAHEUM - SARIJADI),19928,ORANG,2018
28,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),10318,ORANG,2018
29,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,KORIDOR 1 (CIBIRU - CIBEUREUM),32087,ORANG,2018
30,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,KORIDOR 2 (CICAHEUM - CIBEUREUM),30614,ORANG,2018
31,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,KORIDOR 3 (CICAHEUM - SARIJADI),15686,ORANG,2018
32,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),11110,ORANG,2018
33,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,KORIDOR 1 (CIBIRU - CIBEUREUM),32445,ORANG,2018
34,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,KORIDOR 2 (CICAHEUM - CIBEUREUM),31869,ORANG,2018
35,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,KORIDOR 3 (CICAHEUM - SARIJADI),17444,ORANG,2018
36,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),11858,ORANG,2018
37,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,KORIDOR 1 (CIBIRU - CIBEUREUM),35037,ORANG,2018
38,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,KORIDOR 2 (CICAHEUM - CIBEUREUM),32956,ORANG,2018
39,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,KORIDOR 3 (CICAHEUM - SARIJADI),20869,ORANG,2018
40,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),11509,ORANG,2018
41,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,KORIDOR 1 (CIBIRU - CIBEUREUM),34045,ORANG,2018
42,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,KORIDOR 2 (CICAHEUM - CIBEUREUM),33414,ORANG,2018
43,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,KORIDOR 3 (CICAHEUM - SARIJADI),21118,ORANG,2018
44,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),11567,ORANG,2018
45,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,KORIDOR 1 (CIBIRU - CIBEUREUM),35114,ORANG,2018
46,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,KORIDOR 2 (CICAHEUM - CIBEUREUM),33708,ORANG,2018
47,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,KORIDOR 3 (CICAHEUM - SARIJADI),17871,ORANG,2018
48,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),11609,ORANG,2018
49,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KORIDOR 1 (CIBIRU - CIBEUREUM),32917,ORANG,2019
50,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KORIDOR 2 (CICAHEUM - CIBEUREUM),29998,ORANG,2019
51,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KORIDOR 3 (CICAHEUM - SARIJADI),17290,ORANG,2019
52,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),9893,ORANG,2019
53,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KORIDOR 5 (ANTAPANI - ST.HALL),0,ORANG,2019
54,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KORIDOR 1 (CIBIRU - CIBEUREUM),31371,ORANG,2019
55,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KORIDOR 2 (CICAHEUM - CIBEUREUM),28070,ORANG,2019
56,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KORIDOR 3 (CICAHEUM - SARIJADI),15520,ORANG,2019
57,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),9535,ORANG,2019
58,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KORIDOR 5 (ANTAPANI - ST.HALL),0,ORANG,2019
59,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KORIDOR 1 (CIBIRU - CIBEUREUM),31413,ORANG,2019
60,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KORIDOR 2 (CICAHEUM - CIBEUREUM),27013,ORANG,2019
61,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KORIDOR 3 (CICAHEUM - SARIJADI),16479,ORANG,2019
62,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),7558,ORANG,2019
63,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KORIDOR 5 (ANTAPANI - ST.HALL),0,ORANG,2019
64,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KORIDOR 1 (CIBIRU - CIBEUREUM),16202,ORANG,2019
65,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KORIDOR 2 (CICAHEUM - CIBEUREUM),19258,ORANG,2019
66,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KORIDOR 3 (CICAHEUM - SARIJADI),13833,ORANG,2019
67,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),6430,ORANG,2019
68,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KORIDOR 5 (ANTAPANI - ST.HALL),0,ORANG,2019
69,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,KORIDOR 1 (CIBIRU - CIBEUREUM),22246,ORANG,2019
70,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,KORIDOR 2 (CICAHEUM - CIBEUREUM),18181,ORANG,2019
71,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,KORIDOR 3 (CICAHEUM - SARIJADI),13135,ORANG,2019
72,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),8025,ORANG,2019
73,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,KORIDOR 5 (ANTAPANI - ST.HALL),0,ORANG,2019
74,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,KORIDOR 1 (CIBIRU - CIBEUREUM),23828,ORANG,2019
75,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,KORIDOR 2 (CICAHEUM - CIBEUREUM),22794,ORANG,2019
76,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,KORIDOR 3 (CICAHEUM - SARIJADI),13153,ORANG,2019
77,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),9215,ORANG,2019
78,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,KORIDOR 5 (ANTAPANI - ST.HALL),0,ORANG,2019
79,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KORIDOR 1 (CIBIRU - CIBEUREUM),29286,ORANG,2019
80,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KORIDOR 2 (CICAHEUM - CIBEUREUM),27203,ORANG,2019
81,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KORIDOR 3 (CICAHEUM - SARIJADI),15162,ORANG,2019
82,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),10676,ORANG,2019
83,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KORIDOR 5 (ANTAPANI - ST.HALL),0,ORANG,2019
84,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,KORIDOR 1 (CIBIRU - CIBEUREUM),27190,ORANG,2019
85,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,KORIDOR 2 (CICAHEUM - CIBEUREUM),23391,ORANG,2019
86,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,KORIDOR 3 (CICAHEUM - SARIJADI),12901,ORANG,2019
87,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),9745,ORANG,2019
88,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,KORIDOR 5 (ANTAPANI - ST.HALL),0,ORANG,2019
89,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,KORIDOR 1 (CIBIRU - CIBEUREUM),24265,ORANG,2019
90,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,KORIDOR 2 (CICAHEUM - CIBEUREUM),25862,ORANG,2019
91,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,KORIDOR 3 (CICAHEUM - SARIJADI),14252,ORANG,2019
92,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),10260,ORANG,2019
93,32,JAWA BARAT,3273,KOTA BANDUNG,SEPTEMBER,KORIDOR 5 (ANTAPANI - ST.HALL),0,ORANG,2019
94,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,KORIDOR 1 (CIBIRU - CIBEUREUM),25126,ORANG,2019
95,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,KORIDOR 2 (CICAHEUM - CIBEUREUM),24336,ORANG,2019
96,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,KORIDOR 3 (CICAHEUM - SARIJADI),13662,ORANG,2019
97,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),10406,ORANG,2019
98,32,JAWA BARAT,3273,KOTA BANDUNG,OKTOBER,KORIDOR 5 (ANTAPANI - ST.HALL),0,ORANG,2019
99,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,KORIDOR 1 (CIBIRU - CIBEUREUM),22369,ORANG,2019
100,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,KORIDOR 2 (CICAHEUM - CIBEUREUM),16685,ORANG,2019
101,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,KORIDOR 3 (CICAHEUM - SARIJADI),12350,ORANG,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),9310,ORANG,2019
103,32,JAWA BARAT,3273,KOTA BANDUNG,NOVEMBER,KORIDOR 5 (ANTAPANI - ST.HALL),427,ORANG,2019
104,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,KORIDOR 1 (CIBIRU - CIBEUREUM),25558,ORANG,2019
105,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,KORIDOR 2 (CICAHEUM - CIBEUREUM),17865,ORANG,2019
106,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,KORIDOR 3 (CICAHEUM - SARIJADI),12010,ORANG,2019
107,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),8796,ORANG,2019
108,32,JAWA BARAT,3273,KOTA BANDUNG,DESEMBER,KORIDOR 5 (ANTAPANI - ST.HALL),1122,ORANG,2019
109,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KORIDOR 1 (CIBIRU - CIBEUREUM),21619,ORANG,2020
110,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KORIDOR 2 (CICAHEUM - CIBEUREUM),20668,ORANG,2020
111,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KORIDOR 3 (CICAHEUM - SARIJADI),13434,ORANG,2020
112,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),8226,ORANG,2020
113,32,JAWA BARAT,3273,KOTA BANDUNG,JANUARI,KORIDOR 5 (ANTAPANI - ST.HALL),2227,ORANG,2020
114,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KORIDOR 1 (CIBIRU - CIBEUREUM),23345,ORANG,2020
115,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KORIDOR 2 (CICAHEUM - CIBEUREUM),21621,ORANG,2020
116,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KORIDOR 3 (CICAHEUM - SARIJADI),11252,ORANG,2020
117,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),7427,ORANG,2020
118,32,JAWA BARAT,3273,KOTA BANDUNG,FEBRUARI,KORIDOR 5 (ANTAPANI - ST.HALL),1782,ORANG,2020
119,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KORIDOR 1 (CIBIRU - CIBEUREUM),20155,ORANG,2020
120,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KORIDOR 2 (CICAHEUM - CIBEUREUM),17397,ORANG,2020
121,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KORIDOR 3 (CICAHEUM - SARIJADI),8652,ORANG,2020
122,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),6163,ORANG,2020
123,32,JAWA BARAT,3273,KOTA BANDUNG,MARET,KORIDOR 5 (ANTAPANI - ST.HALL),1425,ORANG,2020
124,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KORIDOR 1 (CIBIRU - CIBEUREUM),4791,ORANG,2020
125,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KORIDOR 2 (CICAHEUM - CIBEUREUM),3678,ORANG,2020
126,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KORIDOR 3 (CICAHEUM - SARIJADI),1020,ORANG,2020
127,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),903,ORANG,2020
128,32,JAWA BARAT,3273,KOTA BANDUNG,APRIL,KORIDOR 5 (ANTAPANI - ST.HALL),219,ORANG,2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,KORIDOR 1 (CIBIRU - CIBEUREUM),4872,ORANG,2020
130,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,KORIDOR 2 (CICAHEUM - CIBEUREUM),2866,ORANG,2020
131,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,KORIDOR 3 (CICAHEUM - SARIJADI),1349,ORANG,2020
132,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),1120,ORANG,2020
133,32,JAWA BARAT,3273,KOTA BANDUNG,MEI,KORIDOR 5 (ANTAPANI - ST.HALL),578,ORANG,2020
134,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,KORIDOR 1 (CIBIRU - CIBEUREUM),5723,ORANG,2020
135,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,KORIDOR 2 (CICAHEUM - CIBEUREUM),3494,ORANG,2020
136,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,KORIDOR 3 (CICAHEUM - SARIJADI),2147,ORANG,2020
137,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),1150,ORANG,2020
138,32,JAWA BARAT,3273,KOTA BANDUNG,JUNI,KORIDOR 5 (ANTAPANI - ST.HALL),911,ORANG,2020
139,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KORIDOR 1 (CIBIRU - CIBEUREUM),7922,ORANG,2020
140,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KORIDOR 2 (CICAHEUM - CIBEUREUM),6018,ORANG,2020
141,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KORIDOR 3 (CICAHEUM - SARIJADI),3725,ORANG,2020
142,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KORIDOR 4 (ANTAPANI - LEUWIPANJANG),2837,ORANG,2020
143,32,JAWA BARAT,3273,KOTA BANDUNG,JULI,KORIDOR 5 (ANTAPANI - ST.HALL),1290,ORANG,2020
144,32,JAWA BARAT,3273,KOTA BANDUNG,AGUSTUS,KORIDOR 1 (CIBIRU - CIBEUREUM),9109,ORANG,2020
